koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err2,koi_impact,koi_impact_err1,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_teq,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err2,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,dec,koi_kepmag,koi_predicted
0,0,0,0,4.959319244,-5.15e-07,0.831,0.016,0.0075,-0.0075,9802.0,20.0,-20.0,12.21,1103,146.52,-93.21,696.5,5712,-77,0.11,-0.11,1.082,0.17300000000000001,-0.13,48.727589,15.263,FALSE POSITIVE
0,0,0,0,40.4195037,-0.0001139,0.9109999999999999,5.567,0.14,-0.14,6256.0,230.0,-230.0,7.51,467,5.67,-3.57,36.9,5446,-163,0.11599999999999999,-0.105,0.7809999999999999,0.11599999999999999,-0.095,50.080231,15.487,FALSE POSITIVE
0,0,0,0,7.240661200000001,-1.62e-05,1.198,49.85,0.171,-0.171,556.4,44.1,-44.1,19.45,734,15.32,-8.86,13.7,5005,-79,0.012,-0.064,0.765,0.055,-0.027999999999999997,50.23035,15.334000000000001,FALSE POSITIVE
0,0,0,0,3.43591631,-4.73e-05,0.624,0.037000000000000005,0.40700000000000003,-0.40700000000000003,23.2,3.4,-3.4,0.55,1272,251.11,-186.88,8.7,5779,-115,0.132,-0.10800000000000001,1.087,0.157,-0.142,46.276241,12.790999999999999,FALSE POSITIVE
0,0,0,0,1.626630225,-1.02e-06,1.26,4.827,0.0285,-0.0285,1620.6,19.0,-19.0,32.43,1547,1105.99,-486.6,103.6,5735,-172,0.124,-0.18600000000000003,0.973,0.27,-0.145,38.31028,15.279000000000002,FALSE POSITIVE
0,0,0,0,10.181583999999999,-6.19e-06,0.92,0.006999999999999999,0.0331,-0.0331,5741.1,53.2,-53.2,7.73,812,86.75,-28.91,183.6,5988,-197,0.048,-0.192,0.836,0.23399999999999999,-0.078,38.241669,15.657,FALSE POSITIVE
0,0,0,0,9.02930689,-1.65e-05,0.024,0.401,0.0528,-0.0528,1019.8,21.9,-21.9,2.57,757,43.01,-22.28,53.9,5349,-167,0.063,-0.10800000000000001,0.82,0.141,-0.08199999999999999,38.728229999999996,15.387,FALSE POSITIVE
0,0,0,0,4.783002698,-5.43e-06,0.003,0.425,0.0332,-0.0332,1008.7,16.6,-16.6,2.5,886,66.39,-35.12,70.6,5170,-155,0.026000000000000002,-0.09699999999999999,0.807,0.111,-0.06,39.060719,15.119000000000002,FALSE POSITIVE
0,0,0,0,6.54626149,-2.6700000000000002e-05,0.644,0.295,0.111,-0.111,655.9,30.0,-30.0,2.19,810,31.02,-14.45,24.8,5251,-105,0.01,-0.085,0.8170000000000001,0.08,-0.028999999999999998,41.085879999999996,15.855,FALSE POSITIVE
0,0,0,0,235.99863990000003,-0.0002773,0.778,0.006,0.0606,-0.0606,20715.0,91.7,-91.7,10.59,188,0.05,-0.04,271.8,4245,-85,0.03,-0.018000000000000002,0.657,0.022000000000000002,-0.032,42.307201,15.172,FALSE POSITIVE
0,0,0,0,39.74893077,-1.55e-05,0.8809999999999999,0.003,0.0213,-0.0213,15179.0,44.1,-44.1,14.21,552,20.59,-6.71,561.1,6122,-218,0.052000000000000005,-0.20800000000000002,0.9640000000000001,0.303,-0.10099999999999999,41.969238,15.344000000000001,FALSE POSITIVE
